feature,importance_mean
sin_hour,0.103124864
cos_hour,0.092079304
ALLSKY_SFC_SW_DWN_lag_10,0.03907505
ALLSKY_SFC_SW_DWN_lag_11,0.038180277
CLRSKY_SFC_SW_DWN_roll_mean_6,0.038089268
ALLSKY_SFC_SW_DWN_lag_9,0.0363673
ALLSKY_SFC_SW_DWN_lag_8,0.03609081
ALLSKY_SFC_SW_DWN_lag_21,0.035064336
ALLSKY_SFC_SW_DWN_lag_5,0.031991445
ALLSKY_SFC_SW_DWN_lag_19,0.03158025
ALLSKY_SFC_SW_DWN_lag_22,0.030731753
CLRSKY_SFC_SW_DWN_lag_1,0.030709349
ALLSKY_SFC_SW_DWN_lag_7,0.028336054
ALLSKY_SFC_SW_DWN_lag_13,0.0282059
CLRSKY_SFC_SW_DWN_lag_3,0.027976556
CLRSKY_SFC_SW_DWN_lag_2,0.026445108
CLRSKY_SFC_SW_DWN_roll_mean_3,0.025984203
ALLSKY_SFC_SW_DWN_roll_min_6,0.024171779
ALLSKY_SFC_SW_DWN_lag_23,0.024118928
CLRSKY_SFC_SW_DWN_roll_min_6,0.02267976
ALLSKY_SFC_SW_DWN_lag_17,0.022086613
ALLSKY_SFC_SW_DWN_lag_15,0.021492155
ALLSKY_SFC_SW_DWN_lag_20,0.017747268
ALLSKY_SFC_SW_DWN_roll_mean_3,0.015833568
CLRSKY_SFC_SW_DWN_roll_max_6,0.015344311
ALLSKY_SFC_SW_DWN_lag_14,0.013925561
ALLSKY_SFC_SW_DWN_roll_mean_6,0.013819278
CLRSKY_SFC_SW_DWN_lag_6,0.012845186
ALLSKY_SFC_SW_DWN_lag_24,0.009357699
CLRSKY_SFC_SW_DWN_lag_12,0.009061663
ALLSKY_SFC_SW_DWN_roll_max_6,0.008622161
ALLSKY_SFC_SW_DWN_lag_18,0.008290279
ALLSKY_SFC_SW_DWN_lag_1,0.0065965336
ALLSKY_SFC_SW_DWN_lag_3,0.0064272447
ALLSKY_SFC_SW_DWN_lag_16,0.0056899115
CLRSKY_SFC_SW_DWN_lag_24,0.0056116865
CLRSKY_SFC_SW_DWN,0.005314533
ALLSKY_SFC_SW_DWN_lag_6,0.0040761153
ALLSKY_SFC_SW_DWN_lag_4,0.0032886092
ALLSKY_SFC_SW_DWN_lag_12,0.0027954292
CLOUD_AMT,0.0020961002
ALLSKY_SFC_SW_DWN_lag_2,0.0019908145
CLOUD_AMT_lag_1,0.0016584159
cos_month,0.0015521048
CLOUD_AMT_roll_mean_3,0.0015175053
CLOUD_AMT_roll_min_6,0.0013099588
RH2M_lag_6,0.0012728638
RH2M_lag_3,0.0012688959
CLOUD_AMT_roll_mean_6,0.0012566572
PS_lag_6,0.0012333622
PS_lag_12,0.0012029224
sin_month,0.0011941945
CLOUD_AMT_roll_max_6,0.0011673083
PS_lag_3,0.0011498613
RH2M,0.0011412901
RH2M_lag_12,0.0011355655
RH2M_lag_1,0.0011200916
T2M_lag_3,0.0011181127
RH2M_lag_2,0.001105499
CLOUD_AMT_lag_2,0.001087203
PS_lag_1,0.0010620091
T2M_lag_6,0.0010548382
T2M_lag_1,0.0010508791
PS_lag_2,0.0010503234
CLOUD_AMT_lag_24,0.0010363654
T2M_lag_2,0.0010358054
PS_lag_24,0.0009774141
T2M_lag_12,0.0009685974
RH2M_lag_24,0.0009660805
T2M_lag_24,0.0009605606
CLOUD_AMT_lag_12,0.0009100511
CLOUD_AMT_lag_3,0.00089455437
CLOUD_AMT_lag_6,0.00082226057
PS,0.0007432762
T2M,0.000660168
