hour,rmse,mae,mape_pct,p95_abs_error,count
0,50.87083370272086,38.849838289737946,17.0000561557813,103.99048919677733,7884
1,81.0621779691733,61.36547616216387,16.640598726643994,161.96015930175773,7884
2,91.78226112890921,70.56886396790325,13.380726836230817,177.2427490234374,7884
3,105.26098580369408,81.50227798779322,13.740639864667303,203.79033050537106,7884
4,114.84222311689639,88.36247810429573,14.701378198028094,222.29043884277337,7884
5,122.45577023319511,93.97918645044923,18.04253071716186,246.90828857421863,7884
6,120.43109176933375,91.81672424595105,22.864076242605954,249.233550262451,7884
7,112.96303852462871,85.93893505678994,36.0783160317161,240.53012962341307,7884
8,76.23360442493924,58.51804203360532,38.60272132983249,157.37565307617186,7884
9,33.21514999842772,24.852301745170386,33.57169887346556,68.00290260314934,7884
10,5.8556748703513914,3.8876025887808177,37.83176216172102,13.771919965744006,7884
11,0.6818648067567551,0.38903445316897256,,1.3697036743164057,7884
12,0.5499423289789536,0.2986241867553154,,0.9678756713867187,7884
13,0.47259615104556435,0.263755391903301,,0.8487236022949215,7884
14,0.47059899300263064,0.2608327899470298,,0.8109146118164062,7884
15,0.45445945057707143,0.25003898113527495,,0.7832199096679685,7884
16,0.4606349085200448,0.24854595004332847,,0.7644882202148433,7884
17,0.4535424195988154,0.2423104954394878,,0.7300659179687485,7884
18,0.47172380164575844,0.23990869159204956,,0.7260665893554685,7884
19,0.5155903344129473,0.25140570142679197,,0.7633483886718746,7884
20,0.6376392399491163,0.28569874794939215,,0.9201454162597651,7884
21,0.7467256135417242,0.33272161924070903,,1.1786163330078123,7884
22,2.3008256186737888,1.3314673261615844,25.363469086080904,5.086159706115718,7884
23,19.009966029242058,13.641146840328254,17.22008386190866,40.62559013366698,7884
