sample_idx,forecast_start,timestamp,hour,horizon,actual,predicted,error,abs_error,ape_pct,is_daytime
0,2025-02-05 13:00:00,2025-02-05 13:00:00,13,1,0.0,0.0,0.0,0.0,,True
0,2025-02-05 13:00:00,2025-02-05 14:00:00,14,2,0.0,0.1062774658203125,0.1062774658203125,0.1062774658203125,,True
0,2025-02-05 13:00:00,2025-02-05 15:00:00,15,3,0.0,0.2622833251953125,0.2622833251953125,0.2622833251953125,,True
0,2025-02-05 13:00:00,2025-02-05 16:00:00,16,4,0.0,0.2125396728515625,0.2125396728515625,0.2125396728515625,,True
0,2025-02-05 13:00:00,2025-02-05 17:00:00,17,5,0.0,0.0097198486328125,0.0097198486328125,0.0097198486328125,,True
0,2025-02-05 13:00:00,2025-02-05 18:00:00,18,6,0.0,0.3183135986328125,0.3183135986328125,0.3183135986328125,,False
0,2025-02-05 13:00:00,2025-02-05 19:00:00,19,7,0.0,0.4166259765625,0.4166259765625,0.4166259765625,,False
0,2025-02-05 13:00:00,2025-02-05 20:00:00,20,8,0.0,0.13873291015625,0.13873291015625,0.13873291015625,,False
0,2025-02-05 13:00:00,2025-02-05 21:00:00,21,9,0.0,0.0,0.0,0.0,,False
0,2025-02-05 13:00:00,2025-02-05 22:00:00,22,10,0.0,0.0547637939453125,0.0547637939453125,0.0547637939453125,,False
0,2025-02-05 13:00:00,2025-02-05 23:00:00,23,11,79.75,76.83637237548828,-2.9136276245117188,2.9136276245117188,3.6534515667858543,False
0,2025-02-05 13:00:00,2025-02-06 00:00:00,0,12,254.77000427246094,252.88101196289062,-1.8889923095703125,1.8889923095703125,0.7414500443113982,False
0,2025-02-05 13:00:00,2025-02-06 01:00:00,1,13,453.7300109863281,377.11248779296875,-76.61752319335938,76.61752319335938,16.88614844471199,False
0,2025-02-05 13:00:00,2025-02-06 02:00:00,2,14,625.280029296875,570.272705078125,-55.00732421875,55.00732421875,8.797230303453881,False
0,2025-02-05 13:00:00,2025-02-06 03:00:00,3,15,719.5800170898438,682.537841796875,-37.04217529296875,37.04217529296875,5.1477493000398065,False
0,2025-02-05 13:00:00,2025-02-06 04:00:00,4,16,753.8499755859375,749.6157836914062,-4.23419189453125,4.23419189453125,0.5616756691197319,False
0,2025-02-05 13:00:00,2025-02-06 05:00:00,5,17,677.780029296875,642.7897338867188,-34.99029541015625,34.99029541015625,5.162485452168748,False
0,2025-02-05 13:00:00,2025-02-06 06:00:00,6,18,440.8800048828125,569.1369018554688,128.25689697265625,128.25689697265625,29.091112219241467,True
0,2025-02-05 13:00:00,2025-02-06 07:00:00,7,19,211.60000610351562,400.223876953125,188.62387084960938,188.62387084960938,89.14171333120557,True
0,2025-02-05 13:00:00,2025-02-06 08:00:00,8,20,153.32000732421875,222.50474548339844,69.18473815917969,69.18473815917969,45.1244031138597,True
0,2025-02-05 13:00:00,2025-02-06 09:00:00,9,21,93.97000122070312,133.197265625,39.227264404296875,39.227264404296875,41.744454501139735,True
0,2025-02-05 13:00:00,2025-02-06 10:00:00,10,22,28.229999542236328,36.31866455078125,8.088665008544922,8.088665008544922,28.652728089644715,True
0,2025-02-05 13:00:00,2025-02-06 11:00:00,11,23,0.0,0.0,0.0,0.0,,True
0,2025-02-05 13:00:00,2025-02-06 12:00:00,12,24,0.0,0.0,0.0,0.0,,True
1,2025-02-05 14:00:00,2025-02-05 14:00:00,14,1,0.0,0.0,0.0,0.0,,True
1,2025-02-05 14:00:00,2025-02-05 15:00:00,15,2,0.0,0.1062774658203125,0.1062774658203125,0.1062774658203125,,True
1,2025-02-05 14:00:00,2025-02-05 16:00:00,16,3,0.0,0.3135223388671875,0.3135223388671875,0.3135223388671875,,True
1,2025-02-05 14:00:00,2025-02-05 17:00:00,17,4,0.0,0.136993408203125,0.136993408203125,0.136993408203125,,True
1,2025-02-05 14:00:00,2025-02-05 18:00:00,18,5,0.0,0.2176513671875,0.2176513671875,0.2176513671875,,False
1,2025-02-05 14:00:00,2025-02-05 19:00:00,19,6,0.0,0.2957763671875,0.2957763671875,0.2957763671875,,False
1,2025-02-05 14:00:00,2025-02-05 20:00:00,20,7,0.0,0.4708404541015625,0.4708404541015625,0.4708404541015625,,False
1,2025-02-05 14:00:00,2025-02-05 21:00:00,21,8,0.0,0.13873291015625,0.13873291015625,0.13873291015625,,False
