sample_idx,forecast_start,timestamp,hour,horizon,actual,predicted,error,abs_error,ape_pct,is_daytime
988,2025-03-18 17:00:00,2025-03-19 03:00:00,3,11,217.85000610351562,750.5747680664062,532.7247619628906,532.7247619628906,244.53740970278247,False
989,2025-03-18 18:00:00,2025-03-19 04:00:00,4,11,226.27000427246094,755.6716918945312,529.4016876220703,529.4016876220703,233.96900942495066,False
986,2025-03-18 15:00:00,2025-03-19 03:00:00,3,13,217.85000610351562,739.089599609375,521.2395935058594,521.2395935058594,239.2653563930507,False
992,2025-03-18 21:00:00,2025-03-19 04:00:00,4,8,226.27000427246094,745.3019409179688,519.0319366455078,519.0319366455078,229.38609928186517,False
980,2025-03-18 09:00:00,2025-03-19 03:00:00,3,19,217.85000610351562,735.8300170898438,517.9800109863281,517.9800109863281,237.76910556532184,False
986,2025-03-18 15:00:00,2025-03-19 04:00:00,4,14,226.27000427246094,742.5579833984375,516.2879791259766,516.2879791259766,228.17340760036987,False
4649,2025-08-18 06:00:00,2025-08-19 05:00:00,5,24,226.64999389648438,741.9520263671875,515.3020324707031,515.3020324707031,227.35585543675415,False
987,2025-03-18 16:00:00,2025-03-19 04:00:00,4,13,226.27000427246094,740.576904296875,514.3069000244141,514.3069000244141,227.29786993998383,False
976,2025-03-18 05:00:00,2025-03-19 04:00:00,4,24,226.27000427246094,737.915283203125,511.64527893066406,511.64527893066406,226.12156683153245,False
993,2025-03-18 22:00:00,2025-03-19 04:00:00,4,7,226.27000427246094,737.8973999023438,511.6273956298828,511.6273956298828,226.11366330899583,False
980,2025-03-18 09:00:00,2025-03-19 04:00:00,4,20,226.27000427246094,737.0482788085938,510.7782745361328,510.7782745361328,225.7383943481452,False
991,2025-03-18 20:00:00,2025-03-19 04:00:00,4,9,226.27000427246094,735.9107666015625,509.64076232910156,509.64076232910156,225.23567097096188,False
982,2025-03-18 11:00:00,2025-03-19 03:00:00,3,17,217.85000610351562,725.8621826171875,508.0121765136719,508.0121765136719,233.19355624542885,False
975,2025-03-18 04:00:00,2025-03-19 03:00:00,3,24,217.85000610351562,724.9481811523438,507.0981750488281,507.0981750488281,232.77400084527454,False
992,2025-03-18 21:00:00,2025-03-19 03:00:00,3,7,217.85000610351562,723.2144165039062,505.3644104003906,505.3644104003906,231.97814837804364,False
987,2025-03-18 16:00:00,2025-03-19 03:00:00,3,12,217.85000610351562,723.2034912109375,505.3534851074219,505.3534851074219,231.97313332518038,False
978,2025-03-18 07:00:00,2025-03-19 03:00:00,3,21,217.85000610351562,720.2630615234375,502.4130554199219,502.4130554199219,230.6233836785805,False
983,2025-03-18 12:00:00,2025-03-19 04:00:00,4,17,226.27000427246094,723.4735107421875,497.20350646972656,497.20350646972656,219.7390273043101,False
7220,2025-12-03 09:00:00,2025-12-04 05:00:00,5,21,161.8000030517578,658.5682983398438,496.76829528808594,496.76829528808594,307.0261346838022,False
991,2025-03-18 20:00:00,2025-03-19 03:00:00,3,8,217.85000610351562,714.4514770507812,496.6014709472656,496.6014709472656,227.95568374292165,False
988,2025-03-18 17:00:00,2025-03-19 04:00:00,4,12,226.27000427246094,722.6424560546875,496.37245178222656,496.37245178222656,219.37174278943496,False
981,2025-03-18 10:00:00,2025-03-19 03:00:00,3,18,217.85000610351562,714.1014404296875,496.2514343261719,496.2514343261719,227.79500593191096,False
985,2025-03-18 14:00:00,2025-03-19 04:00:00,4,15,226.27000427246094,722.19482421875,495.92481994628906,495.92481994628906,219.17391195570306,False
981,2025-03-18 10:00:00,2025-03-19 04:00:00,4,19,226.27000427246094,720.7821044921875,494.51210021972656,494.51210021972656,218.54956064979092,False
979,2025-03-18 08:00:00,2025-03-19 04:00:00,4,21,226.27000427246094,720.0570068359375,493.78700256347656,493.78700256347656,218.22910383158322,False
979,2025-03-18 08:00:00,2025-03-19 03:00:00,3,20,217.85000610351562,711.2611694335938,493.4111633300781,493.4111633300781,226.49123227273373,False
7229,2025-12-03 18:00:00,2025-12-04 05:00:00,5,12,161.8000030517578,654.811767578125,493.0117645263672,493.0117645263672,304.7044222667035,False
7228,2025-12-03 17:00:00,2025-12-04 05:00:00,5,13,161.8000030517578,652.7276611328125,490.9276580810547,490.9276580810547,303.4163466140436,False
990,2025-03-18 19:00:00,2025-03-19 03:00:00,3,9,217.85000610351562,708.423095703125,490.5730895996094,490.5730895996094,225.18846722754012,False
983,2025-03-18 12:00:00,2025-03-19 03:00:00,3,16,217.85000610351562,708.1498413085938,490.2998352050781,490.2998352050781,225.06303487184786,False
982,2025-03-18 11:00:00,2025-03-19 04:00:00,4,18,226.27000427246094,716.0989379882812,489.8289337158203,489.8289337158203,216.47983580094748,False
7233,2025-12-03 22:00:00,2025-12-04 05:00:00,5,8,161.8000030517578,651.4964599609375,489.6964569091797,489.6964569091797,302.65540647272536,False
7231,2025-12-03 20:00:00,2025-12-04 05:00:00,5,10,161.8000030517578,651.112060546875,489.3120574951172,489.3120574951172,302.41782958347187,False
977,2025-03-18 06:00:00,2025-03-19 04:00:00,4,23,226.27000427246094,714.234619140625,487.96461486816406,487.96461486816406,215.6559003201264,False
7223,2025-12-03 12:00:00,2025-12-04 05:00:00,5,18,161.8000030517578,648.6690063476562,486.86900329589844,486.86900329589844,300.9079073627428,False
978,2025-03-18 07:00:00,2025-03-19 04:00:00,4,22,226.27000427246094,713.0262451171875,486.75624084472656,486.75624084472656,215.1218595720728,False
992,2025-03-18 21:00:00,2025-03-19 05:00:00,5,9,231.0,717.738525390625,486.738525390625,486.738525390625,210.70931835091992,False
989,2025-03-18 18:00:00,2025-03-19 05:00:00,5,12,231.0,715.4410400390625,484.4410400390625,484.4410400390625,209.71473594764612,False
985,2025-03-18 14:00:00,2025-03-19 03:00:00,3,14,217.85000610351562,701.8855590820312,484.0355529785156,484.0355529785156,222.18753243849662,False
993,2025-03-18 22:00:00,2025-03-19 05:00:00,5,8,231.0,714.2889404296875,483.2889404296875,483.2889404296875,209.21599152800323,False
7221,2025-12-03 10:00:00,2025-12-04 05:00:00,5,20,161.8000030517578,642.9754028320312,481.17539978027344,481.17539978027344,297.3889930189627,False
7230,2025-12-03 19:00:00,2025-12-04 05:00:00,5,11,161.8000030517578,642.7590942382812,480.95909118652344,480.95909118652344,297.2553041501925,False
990,2025-03-18 19:00:00,2025-03-19 05:00:00,5,11,231.0,710.9800415039062,479.98004150390625,479.98004150390625,207.78356775060877,False
984,2025-03-18 13:00:00,2025-03-19 03:00:00,3,15,217.85000610351562,694.7899169921875,476.9399108886719,476.9399108886719,218.93040969759934,False
7232,2025-12-03 21:00:00,2025-12-04 05:00:00,5,9,161.8000030517578,638.1448974609375,476.3448944091797,476.3448944091797,294.40351385951635,False
7222,2025-12-03 11:00:00,2025-12-04 05:00:00,5,19,161.8000030517578,636.7713623046875,474.9713592529297,474.9713592529297,293.55460463186284,False
990,2025-03-18 19:00:00,2025-03-19 04:00:00,4,10,226.27000427246094,701.2271728515625,474.95716857910156,474.95716857910156,209.90726106461125,False
984,2025-03-18 13:00:00,2025-03-19 04:00:00,4,16,226.27000427246094,700.5213623046875,474.25135803222656,474.25135803222656,209.595328181972,False
989,2025-03-18 18:00:00,2025-03-19 03:00:00,3,10,217.85000610351562,691.392333984375,473.5423278808594,473.5423278808594,217.37081230828457,False
7226,2025-12-03 15:00:00,2025-12-04 05:00:00,5,15,161.8000030517578,632.8461303710938,471.04612731933594,471.04612731933594,291.1286269683531,False
5201,2025-09-10 06:00:00,2025-09-11 05:00:00,5,24,199.22999572753906,670.2216796875,470.99168395996094,470.99168395996094,236.40601016930952,False
988,2025-03-18 17:00:00,2025-03-19 05:00:00,5,13,231.0,699.9085083007812,468.90850830078125,468.90850830078125,202.9906962341044,False
7219,2025-12-03 08:00:00,2025-12-04 05:00:00,5,22,161.8000030517578,629.8611450195312,468.06114196777344,468.06114196777344,289.28376584643604,False
993,2025-03-18 22:00:00,2025-03-19 03:00:00,3,6,217.85000610351562,685.5364990234375,467.6864929199219,467.6864929199219,214.6828000076767,False
991,2025-03-18 20:00:00,2025-03-19 05:00:00,5,10,231.0,698.5631103515625,467.5631103515625,467.5631103515625,202.40827287946428,False
994,2025-03-18 23:00:00,2025-03-19 03:00:00,3,5,217.85000610351562,685.290283203125,467.4402770996094,467.4402770996094,214.5697792073947,False
4650,2025-08-18 07:00:00,2025-08-19 05:00:00,5,23,226.64999389648438,693.495361328125,466.8453674316406,466.8453674316406,205.97634237963328,False
7234,2025-12-03 23:00:00,2025-12-04 05:00:00,5,7,161.8000030517578,626.8435668945312,465.04356384277344,465.04356384277344,287.4187608599808,False
7221,2025-12-03 10:00:00,2025-12-04 06:00:00,6,21,121.68000030517578,585.5886840820312,463.90868377685547,463.90868377685547,381.2530264738359,True
4652,2025-08-18 09:00:00,2025-08-19 05:00:00,5,21,226.64999389648438,690.2877807617188,463.6377868652344,463.6377868652344,204.56112920831893,False
