feature,importance_mean
sin_hour,0.09651759
CLRSKY_SFC_SW_DWN_roll_mean_6,0.08399567
cos_hour,0.060328424
CLRSKY_SFC_SW_DWN_roll_max_6,0.03722174
ALLSKY_SFC_SW_DWN_lag_19,0.03536992
CLRSKY_SFC_SW_DWN_lag_1,0.035190918
ALLSKY_SFC_SW_DWN_lag_5,0.032790817
ALLSKY_SFC_SW_DWN_lag_11,0.032106
ALLSKY_SFC_SW_DWN_lag_8,0.031503975
ALLSKY_SFC_SW_DWN_lag_21,0.031192368
ALLSKY_SFC_SW_DWN_lag_7,0.030497322
CLRSKY_SFC_SW_DWN_lag_12,0.028899385
ALLSKY_SFC_SW_DWN_lag_9,0.028489584
ALLSKY_SFC_SW_DWN_lag_10,0.028281607
CLRSKY_SFC_SW_DWN_lag_2,0.027869904
ALLSKY_SFC_SW_DWN_lag_23,0.027553407
CLRSKY_SFC_SW_DWN,0.025851645
ALLSKY_SFC_SW_DWN_lag_17,0.025758108
ALLSKY_SFC_SW_DWN_lag_22,0.025607528
CLRSKY_SFC_SW_DWN_roll_mean_3,0.02456636
CLRSKY_SFC_SW_DWN_lag_3,0.024327964
ALLSKY_SFC_SW_DWN_lag_20,0.024251774
ALLSKY_SFC_SW_DWN_lag_14,0.020979375
ALLSKY_SFC_SW_DWN_lag_13,0.020385036
CLRSKY_SFC_SW_DWN_lag_6,0.020294143
CLRSKY_SFC_SW_DWN_lag_24,0.019239252
ALLSKY_SFC_SW_DWN_roll_mean_3,0.01635466
CLRSKY_SFC_SW_DWN_roll_min_6,0.01385377
ALLSKY_SFC_SW_DWN_lag_1,0.011460281
ALLSKY_SFC_SW_DWN_roll_mean_6,0.006244449
ALLSKY_SFC_SW_DWN_lag_18,0.0056765634
ALLSKY_SFC_SW_DWN_lag_24,0.0043158275
ALLSKY_SFC_SW_DWN_roll_max_6,0.0038723962
ALLSKY_SFC_SW_DWN_lag_15,0.0035885603
ALLSKY_SFC_SW_DWN_lag_16,0.0034227918
ALLSKY_SFC_SW_DWN_roll_min_6,0.0034046108
ALLSKY_SFC_SW_DWN_lag_4,0.0030478213
ALLSKY_SFC_SW_DWN_lag_12,0.0029784357
ALLSKY_SFC_SW_DWN_lag_6,0.0022641944
ALLSKY_SFC_SW_DWN_lag_2,0.0018275232
CLOUD_AMT_lag_1,0.0018119746
ALLSKY_SFC_SW_DWN_lag_3,0.0015206953
CLOUD_AMT,0.0015138366
sin_month,0.0012894268
T2M_lag_3,0.0012797151
RH2M_lag_6,0.0012699894
CLOUD_AMT_roll_mean_3,0.0012571189
CLOUD_AMT_lag_12,0.0012492874
RH2M_lag_12,0.001225992
CLOUD_AMT_roll_min_6,0.0011893987
PS_lag_6,0.0011728718
PS_lag_12,0.0011618453
RH2M_lag_3,0.0011601021
T2M_lag_2,0.0011264127
PS_lag_1,0.0011254132
cos_month,0.0011084947
PS_lag_3,0.00110047
CLOUD_AMT_roll_max_6,0.0010881702
CLOUD_AMT_lag_24,0.001087153
RH2M_lag_1,0.0010765403
T2M_lag_1,0.0010591629
RH2M_lag_2,0.0010527099
PS_lag_2,0.0010364559
PS_lag_24,0.0010329529
CLOUD_AMT_roll_mean_6,0.0009841315
CLOUD_AMT_lag_6,0.0009498319
T2M_lag_6,0.0009119338
RH2M,0.0009083108
T2M_lag_12,0.00089941785
PS,0.0008559264
T2M_lag_24,0.0008517252
CLOUD_AMT_lag_2,0.00084089435
RH2M_lag_24,0.00083659793
CLOUD_AMT_lag_3,0.00079905085
T2M,0.0007842921
