feature,importance_mean
cos_hour,0.09393042
sin_hour,0.06873869
CLRSKY_SFC_SW_DWN_lag_6,0.041330736
CLRSKY_SFC_SW_DWN_roll_min_6,0.04053731
ALLSKY_SFC_SW_DWN_lag_9,0.035660814
CLRSKY_SFC_SW_DWN,0.034516018
ALLSKY_SFC_SW_DWN_lag_18,0.03364378
CLRSKY_SFC_SW_DWN_lag_1,0.032546446
ALLSKY_SFC_SW_DWN_lag_7,0.03178628
CLRSKY_SFC_SW_DWN_lag_12,0.03149461
ALLSKY_SFC_SW_DWN_roll_mean_3,0.031343188
ALLSKY_SFC_SW_DWN_lag_5,0.03036653
ALLSKY_SFC_SW_DWN_lag_13,0.029357545
ALLSKY_SFC_SW_DWN_lag_19,0.029213374
ALLSKY_SFC_SW_DWN_lag_20,0.029022975
ALLSKY_SFC_SW_DWN_lag_17,0.028276594
CLRSKY_SFC_SW_DWN_lag_2,0.02735086
ALLSKY_SFC_SW_DWN_lag_11,0.027033567
ALLSKY_SFC_SW_DWN_lag_21,0.025798677
CLRSKY_SFC_SW_DWN_lag_3,0.025666423
ALLSKY_SFC_SW_DWN_lag_8,0.022980364
ALLSKY_SFC_SW_DWN_roll_mean_6,0.022817014
ALLSKY_SFC_SW_DWN_lag_23,0.022026343
CLRSKY_SFC_SW_DWN_roll_mean_3,0.019550713
ALLSKY_SFC_SW_DWN_roll_max_6,0.015909305
CLRSKY_SFC_SW_DWN_lag_24,0.01588711
CLRSKY_SFC_SW_DWN_roll_max_6,0.0145597225
ALLSKY_SFC_SW_DWN_lag_12,0.013384075
ALLSKY_SFC_SW_DWN_lag_3,0.011912978
CLRSKY_SFC_SW_DWN_roll_mean_6,0.010689163
ALLSKY_SFC_SW_DWN_lag_14,0.0099290265
ALLSKY_SFC_SW_DWN_lag_22,0.008631551
ALLSKY_SFC_SW_DWN_lag_6,0.007899074
ALLSKY_SFC_SW_DWN_lag_15,0.0074336324
ALLSKY_SFC_SW_DWN_lag_10,0.007398805
ALLSKY_SFC_SW_DWN_lag_1,0.0069476147
cos_month,0.003986397
ALLSKY_SFC_SW_DWN_lag_16,0.0039612656
ALLSKY_SFC_SW_DWN_lag_4,0.0027815925
sin_month,0.0025571801
CLOUD_AMT_lag_12,0.0018299335
ALLSKY_SFC_SW_DWN_lag_24,0.0015888164
CLOUD_AMT_lag_6,0.0015654556
CLOUD_AMT,0.0014273912
CLOUD_AMT_lag_24,0.0014142861
CLOUD_AMT_roll_max_6,0.0013627056
ALLSKY_SFC_SW_DWN_lag_2,0.00135796
CLOUD_AMT_roll_min_6,0.0013497039
CLOUD_AMT_lag_1,0.0013133906
RH2M_lag_1,0.0013046726
CLOUD_AMT_roll_mean_3,0.0012969499
CLOUD_AMT_roll_mean_6,0.0012567946
RH2M_lag_12,0.0011656526
T2M_lag_1,0.0011362869
RH2M_lag_2,0.0011303441
RH2M,0.0011269987
T2M_lag_2,0.0011231862
RH2M_lag_6,0.0011224084
ALLSKY_SFC_SW_DWN_roll_min_6,0.0011220261
RH2M_lag_3,0.001120123
T2M_lag_3,0.0011143122
PS_lag_24,0.0011042247
PS_lag_12,0.0010974585
T2M_lag_12,0.0010831183
PS_lag_2,0.0010764514
T2M_lag_6,0.001075352
RH2M_lag_24,0.0010561208
PS_lag_3,0.0010408505
PS_lag_6,0.0010303956
PS_lag_1,0.0010265415
T2M_lag_24,0.0010217422
CLOUD_AMT_lag_3,0.0009656485
CLOUD_AMT_lag_2,0.0009061591
PS,0.00075608975
T2M,0.0006726897
