feature,importance_mean
sin_hour,0.11007828
cos_hour,0.09745469
CLRSKY_SFC_SW_DWN_roll_mean_6,0.0360705
ALLSKY_SFC_SW_DWN_lag_11,0.03553125
ALLSKY_SFC_SW_DWN_lag_10,0.034788698
ALLSKY_SFC_SW_DWN_lag_22,0.0338347
ALLSKY_SFC_SW_DWN_lag_9,0.03356229
ALLSKY_SFC_SW_DWN_lag_21,0.031069681
CLRSKY_SFC_SW_DWN_lag_3,0.030803079
ALLSKY_SFC_SW_DWN_lag_5,0.030705012
CLRSKY_SFC_SW_DWN_lag_12,0.029254174
CLRSKY_SFC_SW_DWN,0.028730398
ALLSKY_SFC_SW_DWN_lag_8,0.028273331
ALLSKY_SFC_SW_DWN_lag_23,0.027164968
CLRSKY_SFC_SW_DWN_lag_2,0.026416978
ALLSKY_SFC_SW_DWN_lag_20,0.025726972
ALLSKY_SFC_SW_DWN_roll_min_6,0.025415333
ALLSKY_SFC_SW_DWN_lag_17,0.024263138
CLRSKY_SFC_SW_DWN_lag_6,0.023914767
ALLSKY_SFC_SW_DWN_lag_18,0.02366273
CLRSKY_SFC_SW_DWN_roll_min_6,0.023625247
CLRSKY_SFC_SW_DWN_roll_mean_3,0.023062749
ALLSKY_SFC_SW_DWN_lag_15,0.021908388
ALLSKY_SFC_SW_DWN_lag_14,0.017546115
ALLSKY_SFC_SW_DWN_roll_mean_6,0.01666816
CLRSKY_SFC_SW_DWN_roll_max_6,0.0132148275
ALLSKY_SFC_SW_DWN_lag_7,0.01306511
ALLSKY_SFC_SW_DWN_lag_24,0.011222966
ALLSKY_SFC_SW_DWN_lag_19,0.009853139
ALLSKY_SFC_SW_DWN_roll_max_6,0.009330303
ALLSKY_SFC_SW_DWN_roll_mean_3,0.008802681
CLRSKY_SFC_SW_DWN_lag_24,0.008053326
ALLSKY_SFC_SW_DWN_lag_6,0.007825681
ALLSKY_SFC_SW_DWN_lag_12,0.007685633
ALLSKY_SFC_SW_DWN_lag_3,0.006335588
CLRSKY_SFC_SW_DWN_lag_1,0.006212298
ALLSKY_SFC_SW_DWN_lag_16,0.005472398
ALLSKY_SFC_SW_DWN_lag_13,0.0042912406
ALLSKY_SFC_SW_DWN_lag_4,0.0031051056
ALLSKY_SFC_SW_DWN_lag_1,0.0028615585
ALLSKY_SFC_SW_DWN_lag_2,0.0026912056
CLOUD_AMT,0.0022234574
CLOUD_AMT_lag_1,0.0018048318
CLOUD_AMT_roll_mean_3,0.0016269289
cos_month,0.0015425213
RH2M_lag_6,0.0013350205
CLOUD_AMT_roll_min_6,0.0013280542
CLOUD_AMT_roll_mean_6,0.0013223166
RH2M_lag_3,0.0012971963
PS_lag_6,0.0012735138
PS_lag_12,0.0012412415
sin_month,0.0012358754
CLOUD_AMT_roll_max_6,0.0012332706
RH2M,0.001223728
T2M_lag_1,0.0012230059
RH2M_lag_12,0.0012207091
PS_lag_1,0.0011742344
RH2M_lag_1,0.0011713025
RH2M_lag_2,0.0011547775
PS_lag_2,0.0011382987
T2M_lag_6,0.0011324446
CLOUD_AMT_lag_2,0.0011255773
PS_lag_3,0.0010939233
CLOUD_AMT_lag_24,0.0010756367
T2M_lag_2,0.0010711538
T2M_lag_3,0.001051168
PS_lag_24,0.0010191404
RH2M_lag_24,0.0009917734
T2M_lag_24,0.0009839816
CLOUD_AMT_lag_3,0.0009696374
T2M_lag_12,0.0009392598
CLOUD_AMT_lag_12,0.0009028127
CLOUD_AMT_lag_6,0.0008245813
PS,0.0007900284
T2M,0.0007038941
