feature,importance_mean
sin_hour,0.0792174
CLRSKY_SFC_SW_DWN_roll_mean_6,0.053225175
ALLSKY_SFC_SW_DWN_lag_8,0.039902017
cos_hour,0.03905566
ALLSKY_SFC_SW_DWN_lag_19,0.03613934
ALLSKY_SFC_SW_DWN_lag_11,0.035899773
CLRSKY_SFC_SW_DWN_roll_mean_3,0.034325805
CLRSKY_SFC_SW_DWN_lag_1,0.034302365
ALLSKY_SFC_SW_DWN_lag_7,0.033011217
ALLSKY_SFC_SW_DWN_lag_9,0.032735515
ALLSKY_SFC_SW_DWN_lag_22,0.03246448
ALLSKY_SFC_SW_DWN_lag_21,0.03180694
ALLSKY_SFC_SW_DWN_lag_10,0.03135706
ALLSKY_SFC_SW_DWN_lag_5,0.03062314
CLRSKY_SFC_SW_DWN_lag_12,0.028618112
CLRSKY_SFC_SW_DWN_lag_3,0.026847875
CLRSKY_SFC_SW_DWN,0.026127158
ALLSKY_SFC_SW_DWN_lag_15,0.025484229
ALLSKY_SFC_SW_DWN_lag_13,0.02364219
ALLSKY_SFC_SW_DWN_lag_20,0.02305421
ALLSKY_SFC_SW_DWN_lag_23,0.022727968
ALLSKY_SFC_SW_DWN_roll_min_6,0.022095265
ALLSKY_SFC_SW_DWN_lag_17,0.022066146
CLRSKY_SFC_SW_DWN_roll_max_6,0.02059738
CLRSKY_SFC_SW_DWN_lag_6,0.020355642
ALLSKY_SFC_SW_DWN_lag_14,0.018452395
CLRSKY_SFC_SW_DWN_roll_min_6,0.017344274
CLRSKY_SFC_SW_DWN_lag_2,0.016661182
ALLSKY_SFC_SW_DWN_roll_mean_3,0.016305396
ALLSKY_SFC_SW_DWN_lag_1,0.012226649
ALLSKY_SFC_SW_DWN_lag_3,0.008597124
ALLSKY_SFC_SW_DWN_lag_24,0.0069571673
CLRSKY_SFC_SW_DWN_lag_24,0.006200722
ALLSKY_SFC_SW_DWN_lag_18,0.006149925
ALLSKY_SFC_SW_DWN_roll_mean_6,0.006065356
ALLSKY_SFC_SW_DWN_lag_16,0.004662617
ALLSKY_SFC_SW_DWN_roll_max_6,0.004394589
ALLSKY_SFC_SW_DWN_lag_12,0.0042104307
CLOUD_AMT,0.003212522
ALLSKY_SFC_SW_DWN_lag_4,0.0029015935
ALLSKY_SFC_SW_DWN_lag_6,0.0028363683
cos_month,0.002477004
CLOUD_AMT_lag_1,0.0024528387
RH2M_lag_3,0.0021384766
RH2M_lag_6,0.002119572
CLOUD_AMT_roll_mean_3,0.0021145015
RH2M,0.0021023655
RH2M_lag_12,0.0020327882
sin_month,0.0020282809
RH2M_lag_1,0.0019785338
CLOUD_AMT_roll_max_6,0.0019682937
RH2M_lag_2,0.0018327722
CLOUD_AMT_roll_min_6,0.0018214065
CLOUD_AMT_roll_mean_6,0.0017748711
T2M_lag_6,0.0017344911
T2M_lag_12,0.0017151907
CLOUD_AMT_lag_24,0.001677218
PS_lag_12,0.001635184
PS_lag_6,0.0016052234
CLOUD_AMT_lag_12,0.0015495479
PS_lag_3,0.0015355636
ALLSKY_SFC_SW_DWN_lag_2,0.0015143068
T2M_lag_3,0.0014977432
T2M_lag_24,0.00149275
PS_lag_1,0.001467791
CLOUD_AMT_lag_6,0.0014381354
PS_lag_2,0.0014301846
PS_lag_24,0.0013994273
CLOUD_AMT_lag_2,0.0013874709
CLOUD_AMT_lag_3,0.001387146
T2M_lag_1,0.0013791906
T2M_lag_2,0.0013627531
RH2M_lag_24,0.0012558487
PS,0.0010098034
T2M,0.00082297064
