feature,importance_mean
sin_hour,0.052939516
CLRSKY_SFC_SW_DWN_roll_mean_3,0.047001887
ALLSKY_SFC_SW_DWN_lag_19,0.040430266
ALLSKY_SFC_SW_DWN_lag_10,0.03483932
ALLSKY_SFC_SW_DWN_lag_9,0.03361713
ALLSKY_SFC_SW_DWN_lag_16,0.033429142
clearsky_change_ratio_1,0.03175853
cos_hour,0.029723974
ALLSKY_SFC_SW_DWN_diff_3,0.02774434
ALLSKY_SFC_SW_DWN_lag_20,0.027610274
ALLSKY_SFC_SW_DWN_lag_8,0.027514214
CLRSKY_SFC_SW_DWN_roll_mean_6,0.02697133
ALLSKY_SFC_SW_DWN_lag_17,0.026033394
ALLSKY_SFC_SW_DWN_lag_11,0.02547302
CLRSKY_SFC_SW_DWN_lag_1,0.024852296
CLRSKY_SFC_SW_DWN_lag_12,0.023663359
ALLSKY_SFC_SW_DWN_lag_4,0.023581615
CLRSKY_SFC_SW_DWN_diff_1,0.023374036
ALLSKY_SFC_SW_DWN_lag_13,0.022530839
ALLSKY_SFC_SW_DWN_lag_7,0.02185259
ALLSKY_SFC_SW_DWN_lag_18,0.021782385
ALLSKY_SFC_SW_DWN_lag_21,0.020615498
ALLSKY_SFC_SW_DWN_lag_22,0.020109057
ALLSKY_SFC_SW_DWN_lag_5,0.019328536
ALLSKY_SFC_SW_DWN_lag_15,0.018447528
CLRSKY_SFC_SW_DWN_lag_3,0.018244188
ALLSKY_SFC_SW_DWN_roll_mean_6,0.017067034
CLRSKY_SFC_SW_DWN,0.016688755
CLRSKY_SFC_SW_DWN_lag_24,0.016145328
CLRSKY_SFC_SW_DWN_lag_6,0.013554676
ALLSKY_SFC_SW_DWN_lag_14,0.012832637
ALLSKY_SFC_SW_DWN_roll_min_6,0.011585038
ALLSKY_SFC_SW_DWN_lag_1,0.010357873
CLRSKY_SFC_SW_DWN_diff_3,0.009914534
ALLSKY_SFC_SW_DWN_roll_std_6,0.009430713
ALLSKY_SFC_SW_DWN_lag_12,0.009067329
ALLSKY_SFC_SW_DWN_roll_mean_3,0.008773109
CLRSKY_SFC_SW_DWN_lag_2,0.0082447175
CLRSKY_SFC_SW_DWN_roll_std_6,0.007883288
ALLSKY_SFC_SW_DWN_lag_6,0.0075442805
CLRSKY_SFC_SW_DWN_roll_max_6,0.0068557863
ALLSKY_SFC_SW_DWN_lag_3,0.006170148
ALLSKY_SFC_SW_DWN_lag_23,0.0058031077
CLRSKY_SFC_SW_DWN_roll_std_3,0.005236601
is_daylight_lag_1,0.0049024634
PS_diff_3,0.0048432215
ALLSKY_SFC_SW_DWN_diff_1,0.0042462484
ALLSKY_SFC_SW_DWN_lag_24,0.0033303841
PS_diff_1,0.0029376948
CLOUD_AMT,0.0028773525
CLRSKY_SFC_SW_DWN_roll_min_6,0.0027928327
irradiance_to_clearsky_gap_lag_1,0.0025844227
is_morning_ramp,0.0025816537
target_change_ratio_1,0.0022967614
T2M_diff_3,0.0021616642
ALLSKY_SFC_SW_DWN_roll_std_3,0.0019953165
irradiance_to_clearsky_ratio_lag_1,0.0019890296
ALLSKY_SFC_SW_DWN_lag_2,0.0017305386
PS_lag_3,0.0016251254
CLOUD_AMT_lag_1,0.0015923203
is_evening_ramp,0.0015904695
cloud_clearsky_interaction,0.0015813845
cos_month,0.0015722262
T2M_lag_3,0.0015713745
PS,0.0015609522
PS_lag_1,0.0015308816
PS_lag_6,0.0015155711
PS_lag_2,0.0015135595
RH2M,0.0014861203
ALLSKY_SFC_SW_DWN_roll_max_6,0.0014784703
RH2M_lag_3,0.0014692951
RH2M_lag_2,0.0014463277
RH2M_lag_1,0.001394828
CLOUD_AMT_roll_mean_3,0.0013910619
RH2M_lag_6,0.0013731456
RH2M_lag_12,0.0013618894
T2M_diff_1,0.001315412
PS_lag_12,0.0012987704
T2M_lag_12,0.001274859
CLOUD_AMT_roll_mean_6,0.0012550028
humidity_temp_interaction,0.001229107
CLOUD_AMT_roll_min_6,0.0011863079
T2M_lag_6,0.0011468012
T2M,0.0010327502
CLOUD_AMT_lag_2,0.0010182481
CLOUD_AMT_roll_max_6,0.0009770141
CLOUD_AMT_roll_std_6,0.00095415214
T2M_lag_1,0.0009239846
PS_lag_24,0.0009098724
sin_month,0.00089246844
RH2M_lag_24,0.00088821095
CLOUD_AMT_lag_3,0.00088722765
CLOUD_AMT_lag_24,0.0008712187
CLOUD_AMT_roll_std_3,0.0008624503
T2M_lag_24,0.00085841253
T2M_lag_2,0.0008341835
CLOUD_AMT_lag_12,0.0008273088
CLOUD_AMT_diff_3,0.0008098427
CLOUD_AMT_lag_6,0.00078176457
RH2M_diff_1,0.0007312274
RH2M_diff_3,0.0007152404
CLOUD_AMT_diff_1,0.00057033397
