feature,importance_mean
sin_hour,0.058040258
cos_hour,0.04960102
CLRSKY_SFC_SW_DWN_roll_mean_3,0.04338898
ALLSKY_SFC_SW_DWN_lag_8,0.040669937
ALLSKY_SFC_SW_DWN_lag_19,0.037741173
ALLSKY_SFC_SW_DWN_lag_7,0.036618125
ALLSKY_SFC_SW_DWN_lag_21,0.036608778
ALLSKY_SFC_SW_DWN_lag_9,0.03567268
ALLSKY_SFC_SW_DWN_lag_11,0.034134045
CLRSKY_SFC_SW_DWN_lag_1,0.034008715
ALLSKY_SFC_SW_DWN_lag_10,0.03206292
ALLSKY_SFC_SW_DWN_lag_13,0.030525422
CLRSKY_SFC_SW_DWN_lag_12,0.029986842
ALLSKY_SFC_SW_DWN_lag_5,0.02973103
ALLSKY_SFC_SW_DWN_lag_22,0.027778609
ALLSKY_SFC_SW_DWN_lag_17,0.026834643
ALLSKY_SFC_SW_DWN_lag_20,0.026380815
CLRSKY_SFC_SW_DWN_lag_3,0.025771825
ALLSKY_SFC_SW_DWN_lag_16,0.02548076
ALLSKY_SFC_SW_DWN_lag_18,0.025131771
ALLSKY_SFC_SW_DWN_roll_mean_6,0.022417776
ALLSKY_SFC_SW_DWN_lag_23,0.020267783
CLRSKY_SFC_SW_DWN_lag_6,0.020137975
ALLSKY_SFC_SW_DWN_lag_15,0.019921556
CLRSKY_SFC_SW_DWN_roll_mean_6,0.019262688
CLRSKY_SFC_SW_DWN,0.019057248
ALLSKY_SFC_SW_DWN_lag_4,0.017754039
ALLSKY_SFC_SW_DWN_roll_min_6,0.01762757
ALLSKY_SFC_SW_DWN_lag_14,0.017073525
ALLSKY_SFC_SW_DWN_roll_mean_3,0.0153086595
ALLSKY_SFC_SW_DWN_roll_max_6,0.0139051005
CLRSKY_SFC_SW_DWN_lag_24,0.010957781
CLRSKY_SFC_SW_DWN_lag_2,0.008761571
ALLSKY_SFC_SW_DWN_lag_1,0.008115595
ALLSKY_SFC_SW_DWN_lag_12,0.0077047795
ALLSKY_SFC_SW_DWN_lag_3,0.007464452
ALLSKY_SFC_SW_DWN_lag_6,0.005806809
ALLSKY_SFC_SW_DWN_lag_24,0.0043875086
CLRSKY_SFC_SW_DWN_roll_min_6,0.0041257604
CLRSKY_SFC_SW_DWN_roll_max_6,0.003731487
CLOUD_AMT,0.0023256897
CLOUD_AMT_lag_1,0.001973389
CLOUD_AMT_roll_mean_3,0.0018794839
PS_lag_1,0.0018100451
PS_lag_3,0.0017579952
RH2M_lag_3,0.0017464254
RH2M_lag_1,0.0017415336
PS_lag_2,0.001719817
PS_lag_6,0.0016790279
cos_month,0.0016772434
RH2M_lag_6,0.0016541543
CLOUD_AMT_roll_mean_6,0.0016246341
RH2M_lag_12,0.0015854387
RH2M,0.0015827646
PS_lag_12,0.0015675497
RH2M_lag_2,0.0015017696
CLOUD_AMT_roll_min_6,0.0014509821
ALLSKY_SFC_SW_DWN_lag_2,0.0014422213
T2M_lag_6,0.001405104
T2M_lag_12,0.0013826486
CLOUD_AMT_roll_max_6,0.0012630847
PS,0.0012463201
PS_lag_24,0.0011940507
CLOUD_AMT_lag_2,0.0011914439
T2M_lag_3,0.0011882178
CLOUD_AMT_lag_24,0.0011551984
CLOUD_AMT_lag_12,0.0011169865
RH2M_lag_24,0.00111228
T2M_lag_24,0.0010887427
sin_month,0.0010813012
T2M_lag_2,0.0010798716
CLOUD_AMT_lag_6,0.0010409417
T2M_lag_1,0.0010393703
CLOUD_AMT_lag_3,0.0010288128
T2M,0.0007074349
